index	open	close	high	low
0	359	345	368	341
1	349	335	349	324
2	340	344	344	335
3	346	351	364	345
4	352	347	357	342
5	348	340	357	340
6	333	336	343	331
7	358	333	358	331
8	333	328	337	325
9	330	307	330	303
10	307	288	308	285
11	280	280	289	266
12	283	290	296	283
13	285	279	288	275
14	279	280	284	270
15	275	269	278	257
16	275	300	305	271
17	307	313	322	301
18	318	308	322	303
19	310	310	315	302
20	313	300	313	292
21	297	292	297	287
22	298	310	314	290
23	312	302	312	297
24	300	316	318	300
25	316	338	339	315
26	339	324	339	317
27	324	302	330	292
28	300	303	308	292
29	303	315	325	301
30	319	314	321	308
31	312	321	335	310
32	326	332	332	321
33	335	328	341	323
34	329	330	330	328
35	328	329	331	328
36	329	323	332	321
37	321	319	322	304
38	320	307	323	301
39	305	300	312	297
40	303	307	311	301
41	307	307	309	306
42	307	307	309	307
43	312	322	327	306
44	325	319	325	311
45	321	315	326	315
46	317	311	319	306
47	312	318	321	312
48	319	318	319	317
49	318	318	320	318
50	322	360	360	315
51	362	410	410	361
52	416	400	424	390
53	402	414	420	392
54	415	409	419	399
55	410	404	410	403
56	409	391	413	385
57	388	365	390	365
58	365	402	402	365
59	409	413	431	407
60	415	387	421	383
61	388	404	406	388
62	404	400	406	399
63	419	411	419	401
64	415	444	448	402
65	450	461	482	443
66	455	407	455	405
67	404	418	425	391
68	417	414	419	413
69	416	414	419	412
70	414	411	423	404
71	414	413	415	407
72	425	419	433	416
73	422	416	422	411
74	413	414	414	404
75	413	413	415	412
76	414	415	417	412
77	415	421	430	410
78	426	447	447	419
79	447	429	449	425
80	430	433	440	430
81	435	436	437	430
82	437	435	438	433
83	436	436	439	435
84	435	433	439	426
85	433	429	438	425
86	428	428	441	412
87	430	422	430	420
88	422	419	424	415
89	420	421	424	418
90	421	421	424	420
91	422	431	437	417
92	434	418	436	400
93	422	422	433	417
94	421	423	429	418
95	425	437	439	424
96	438	435	441	433
97	434	436	438	434
98	438	468	473	430
